INSTNM,LATITUDE,LONGITUDE
Lancaster Beauty School,34.694914,-118.147547
Laney College,37.797257,-122.26283
Lassen Community College,40.432053,-120.633271
Life Chiropractic College West,37.638099,-122.117619
Lincoln University,37.804788,-122.269745
Southern California Seminary,32.799614,-116.905461
La Sierra University,33.910704,-117.500054
Loma Linda University,34.051241,-117.260605
Long Beach City College,33.833593,-118.135633
Southern California University of Health Sciences,33.922966,-117.983401
Los Angeles Harbor College,33.784201,-118.28186
Los Angeles Pierce College,34.183949,-118.575071
Los Angeles Southwest College,33.929586,-118.304674
Los Angeles Trade Technical College,34.031907,-118.269447
Los Angeles Valley College,34.175165,-118.421734
The Master's University and Seminary,34.381755,-118.518193
Los Angeles City College,34.087301,-118.292169
Los Angeles County College of Nursing and Allied Health,34.062647,-118.211852
Los Angeles Mission College,34.314668,-118.4195
Los Medanos College,38.006474,-121.860967
Loyola Marymount University,33.97085,-118.415744
Lu Ross Academy,34.278034,-119.293952
Lyle's College of Beauty,35.386539,-119.02387
Lyle's College of  Beauty,36.836265,-119.774167
Lytles Redwood Empire Beauty College Inc,38.508385,-122.75777
MTI Business College Inc,38.007885,-121.308445
MTI College,38.661377,-121.342568
College of Marin,37.954897,-122.549149
Marymount California University,33.734887,-118.333371
Mendocino College,39.188989,-123.228809
Menlo College,37.453475,-122.190797
Merced College,37.3353,-120.476464
Merritt College,37.789088,-122.167335
Mills College,37.781425,-122.182294
MiraCosta College,33.190483,-117.302606
Mission College,37.391935,-121.980783
Modern Beauty Academy,34.195384,-119.181423
Modesto Junior College,37.651056,-121.009792
Moler Barber College,37.827075,-122.265352
Middlebury Institute of International Studies at Monterey,36.599736,-121.897325
Monterey Peninsula College,36.590558,-121.884931
Moorpark College,34.301146,-118.834528
Mt San Antonio College,34.047764,-117.846629
Mount Saint Mary's University,34.085315,-118.482879
Mt San Jacinto Community College District,33.806748,-116.971169
Musicians Institute,34.101265,-118.337582
Napa Valley College,38.274081,-122.274381
National Holistic Institute,37.841898,-122.287672
National University,32.909894,-117.243026
Naval Postgraduate School,36.597159,-121.874248
Newschool of Architecture and Design,32.71331,-117.153305
Newberry School of Beauty,34.256683,-118.499693
North Adrian's College of Beauty Inc,37.677778,-120.992753
North-West College-Pomona,34.062043,-117.751227
North-West College-West Covina,34.072071,-117.949583
North-West College-Van Nuys,34.189497,-118.450184
Notre Dame de Namur University,37.517111,-122.284794
Occidental College,34.127124,-118.210908
Ohlone College,37.52773,-121.916339
Orange Coast College,33.66927,-117.909086
Otis College of Art and Design,33.956607,-118.416615
Oxnard College,34.166104,-119.157604
Hope International University,33.87616,-117.88573
Concorde Career College-San Diego,32.702814,-117.102845
