INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Associated Technical College-Los Angeles,8920,NULL,NULL,NULL,404,NULL,24200
Associated Technical College-San Diego,8150,NULL,NULL,NULL,110,NULL,17900
Azusa Pacific University,13500,44021,0.7985,1098,6543,9231,50500
Bakersfield College,5137,8732,NULL,NULL,15854,8689,29500
Barstow Community College,PrivacySuppressed,14930,NULL,NULL,2866,7455,30900
Bellus Academy-Chula Vista,13464,NULL,NULL,NULL,185,NULL,20400
Bethesda University,5649,11741,0.8321,NULL,259,3077,PrivacySuppressed
Biola University,18000,44573,0.7286,1123,4324,8924,43100
Brooks Institute,27500,32699,0.98,NULL,492,6236,30800
Brownson Technical School,9360,NULL,NULL,NULL,45,NULL,50400
Bryan University,11667,24818,NULL,NULL,879,4360,34100
Butte College,6000,11493,NULL,NULL,11123,7923,29400
Phillips Graduate University,PrivacySuppressed,NULL,NULL,NULL,NULL,5739,NULL
California Institute of Integral Studies,18750,NULL,NULL,NULL,75,8395,PrivacySuppressed
Cabrillo College,5500,12665,NULL,NULL,12724,7875,32100
California Baptist University,12500,39026,0.788,984,5797,8355,40700
California College of the Arts,22500,53837,0.8157,NULL,1463,8347,34500
University of California-Hastings College of Law,9000,NULL,NULL,NULL,NULL,12941,102000
California Institute of Technology,11125,56382,0.1055,1534,977,17529,74200
California Lutheran University,16508,48630,0.4802,1108,2882,9597,52800
California Polytechnic State University-San Luis Obispo,15500,23867,0.3123,1242,18664,8675,63100
Alliant International University-San Diego,2076,28901,0.4922,NULL,254,8051,58000
California State University-Bakersfield,8334,18061,0.6626,901,7226,8122,46600
California State University-Stanislaus,12058.5,17161,0.7215,917,7751,8072,43800
California State University-San Bernardino,13000,17030,0.5831,888,15887,8558,44800
California State Polytechnic University-Pomona,13632.5,19402,0.5218,1070,20857,9101,51100
California State University-Chico,13000,22926,0.7161,1014,15106,8370,45600
California State University-Dominguez Hills,12250,12957,0.5747,845,11894,8202,43600
California State University-Fresno,11500,16377,0.5815,920,19911,8027,43300
California State University-Fullerton,11837,16663,0.4579,1021,33000,8521,44500
California State University-East Bay,11000,20676,0.6872,910,12079,8804,50500
California State University-Long Beach,12241,18085,0.3082,1012,30440,8671,47100
California State University-Los Angeles,9495,14747,0.6752,871,19525,8767,43900
California State University-Northridge,10823,20899,0.4624,918,33581,8395,43400
California State University-Sacramento,12500,19380,0.6968,945,25991,8364,47200
