INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Johnson County Community College,4033,10688,NULL,NULL,12361,7319,36200
Concorde Career College-Kansas City,9500,NULL,1,NULL,783,4104,25500
Kansas City Kansas Community College,5500,18419,NULL,NULL,5327,5847,31200
University of Kansas,12500,21971,0.9228,1145,18731,9694,46500
Newman University,14000,33524,0.4472,1079,1276,5684,43500
Old Town Barber College-Wichita,9500,NULL,NULL,NULL,40,NULL,18800
Kansas State University,14314,20140,0.9591,NULL,19647,8154,43800
Kansas Wesleyan University,15000,34402,0.537,1014,664,5498,39200
Washburn Institute of Technology,9500,16169,0.7923,NULL,1161,NULL,38800
La Baron Hairdressing Academy-Overland Park,5500,NULL,NULL,NULL,37,NULL,PrivacySuppressed
Labette Community College,4500,9170,NULL,NULL,1374,5092,30300
Manhattan Area Technical College,6875,16279,NULL,NULL,750,5826,37400
Manhattan Christian College,11750,25439,0.5988,1020,301,5189,31800
McPherson College,13581.5,34534,0.866,1014,632,5217,41400
MidAmerica Nazarene University,12708,32388,0.7223,950,1390,6156,40800
Neosho County Community College,4700,12587,NULL,NULL,1434,4578,34400
North Central Kansas Technical College,9500,14424,NULL,NULL,504,4162,36200
Northwest Kansas Technical College,6620.5,NULL,NULL,NULL,391,5021,36100
Ottawa University-Ottawa,11250,35017,0.9888,1020,533,5650,40100
Ottawa University-Kansas City,11250,NULL,NULL,NULL,246,999,40100
Pittsburg State University,10250,15211,0.7898,1010,6005,6987,38100
Pratt Community College,5500,10618,NULL,NULL,928,4395,33500
University of Saint Mary,16782,31515,0.4707,988,782,5695,37100
Salina Area Technical College,5500,10457,NULL,NULL,294,5173,31600
Seward County Community College,3500,9236,NULL,NULL,1618,5176,32600
Sidneys Hair Dressing College,9702,NULL,NULL,NULL,48,NULL,15500
Southwestern College,15217,36472,0.8968,1036,1332,5689,46200
Sterling College,13558,30722,0.4405,1015,640,3587,34400
Tabor College,13000,35960,0.735,1017,706,4248,41200
Washburn University,9500,16176,NULL,NULL,5320,7618,38800
Wichita State University-Campus of Applied Sciences and Technology,5146,12928,NULL,NULL,1690,4356,32000
Wichita State University,11000,14764,0.9576,1089,11198,7568,39600
Wichita Technical Institute,13000,NULL,NULL,NULL,967,3751,37100
Alice Lloyd College,6350,19450,0.4502,990,617,4454,31300
Asbury University,17750,33966,0.6573,1110,1392,5924,35100
Asbury Theological Seminary,3475,NULL,NULL,NULL,NULL,7890,44200
Ashland Community and Technical College,5500,11665,NULL,NULL,2525,5189,23700
Barrett and Company School of Hair Design,3605,NULL,NULL,NULL,93,NULL,15600
Bellarmine University,18000,47609,0.9478,1116,2508,7580,46000
Berea College,4737,30396,0.3401,1113,1587,7357,31800
PJ's College of Cosmetology-Bowling Green,7389,NULL,NULL,NULL,372,NULL,15800
Southcentral Kentucky Community and Technical College,6550,11295,NULL,NULL,3122,4290,29400
Brescia University,10500,27219,0.45,1010,869,5221,37400
Campbellsville University,9500,31545,0.6844,985,2213,5692,32400
Bluegrass Community and Technical College,5500,11544,NULL,NULL,10467,5068,27000
Centre College,21000,46400,0.6857,1268,1372,6951,44100
Clear Creek Baptist Bible College,PrivacySuppressed,13615,NULL,NULL,136,4167,26700
Paul Mitchell the School-Lexington,12000,NULL,NULL,NULL,278,NULL,PrivacySuppressed
Collins School of Cosmetology,PrivacySuppressed,NULL,NULL,NULL,29,NULL,PrivacySuppressed
Galen College of Nursing-Louisville,12862,NULL,0.6696,NULL,847,5067,38200
University of the Cumberlands,7500,30993,0.7127,1019,1545,5417,32900
Eastern Kentucky University,11001,17801,0.6002,1009,13247,6910,34800
Elizabethtown Community and Technical College,5500,10803,NULL,NULL,5742,4858,28100
Frontier Nursing University,PrivacySuppressed,NULL,NULL,NULL,NULL,6824,NULL
Georgetown College,19864.5,42036,0.8219,1085,1034,5999,40400
PJ's College of Cosmetology-Glasgow,6333,NULL,NULL,NULL,74,NULL,PrivacySuppressed
Hazard Community and Technical College,5357,11591,NULL,NULL,2585,5347,23300
Paul Mitchell the School-Louisville,11681.5,NULL,NULL,NULL,247,NULL,11400
Henderson Community College,4553,10789,NULL,NULL,1375,5505,29000
Hopkinsville Community College,5500,11678,NULL,NULL,3191,5112,26900
Daymar College-Paducah Main,16479,28820,NULL,NULL,86,3562,21600
Jefferson Community and Technical College,5500,11113,NULL,NULL,11632,5388,27200
Jenny Lea Academy of Cosmetology,6971,NULL,NULL,NULL,26,NULL,PrivacySuppressed
Summit Salon Academy-Lexington,9500,NULL,NULL,NULL,132,NULL,PrivacySuppressed
American National University-Lexington,12001,24722,NULL,NULL,1275,3321,19700
Kentucky Mountain Bible College,5500,15618,0.5075,930,73,NULL,PrivacySuppressed
Kentucky State University,10250,18387,0.3774,860,2131,6102,28600
Kentucky Wesleyan College,12450,29725,0.671,1019,652,5191,34000
University of Kentucky,12000,22420,0.6861,1140,21050,9614,43000
Kentucky Christian University,9500,29246,0.5136,976,547,4594,31400
Lexington Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,5137,NULL
Lindsey Wilson College,11835,33342,NULL,NULL,2127,5621,27000
Sullivan College of Technology and Design,13772.5,36357,0.8305,NULL,368,4138,33000
University of Louisville,10523.5,21922,0.7112,1142,15023,9373,40300
Louisville Presbyterian Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,6457,PrivacySuppressed
Madisonville Community College,5429,10669,NULL,NULL,2625,5109,26700
Maysville Community and Technical College,6211,11940,NULL,NULL,2821,5087,23700
Mid-Continent University,7038.5,29971,0.7031,923,2142,3324,39100
Midway University,13500,33132,0.5381,1032,1247,5459,35600
Morehead State University,11000,17805,0.8449,1028,7344,6527,31400
Murray State University,11000,16397,0.8217,1029,7956,7145,35700
Gateway Community and Technical College,7699,11335,NULL,NULL,3810,4827,27400
Northern Kentucky University,11000,14603,0.467,1024,11976,6780,36200
Nutek Academy of Beauty Inc,PrivacySuppressed,NULL,NULL,NULL,18,NULL,PrivacySuppressed
Daymar College-Owensboro,12539.5,28943,NULL,NULL,122,4537,21200
West Kentucky Community and Technical College,4983.5,10661,NULL,NULL,4648,5008,25400
Pat Wilson's Beauty College,6505,NULL,NULL,NULL,73,NULL,PrivacySuppressed
University of Pikeville,8250,31005,1,909,1313,5588,28400
Big Sandy Community and Technical College,5434.5,11404,NULL,NULL,3283,4993,23400
Brown Mackie College-Louisville,9500,23759,NULL,NULL,1420,4380,29600
Empire Beauty School-Chenoweth,5500,NULL,NULL,NULL,107,NULL,17800
Saint Catharine College,14073.5,30957,NULL,NULL,605,4372,29800
Empire Beauty School-Elizabethtown,6513,NULL,NULL,NULL,168,NULL,16900
Empire Beauty School-Dixie,6107,NULL,NULL,NULL,123,NULL,15700
Empire Beauty School-Florence,5500,NULL,NULL,NULL,165,NULL,17000
Brown Mackie College-Northern Kentucky,9500,22799,NULL,NULL,443,4362,29600
Somerset Community College,5734,11298,NULL,NULL,6037,4953,24300
Southeast Kentucky Community and Technical College,4750,11439,NULL,NULL,2582,5192,21800
The Southern Baptist Theological Seminary,PrivacySuppressed,NULL,0.9051,NULL,616,5665,NULL
Spalding University,14688,31021,0.8108,952,1277,7132,43700
Spencerian College-Louisville,9630,29666,NULL,NULL,528,4588,31800
Sullivan University,9500,29648,NULL,NULL,3404,6866,30100
Thomas More College,16556,36843,0.8775,1033,1208,6325,46100
Transylvania University,24618,41374,0.9615,1213,1081,8282,41700
Trend Setters' Academy of Beauty Culture-Louisville,5159,NULL,NULL,NULL,95,NULL,14500
Union College,9500,31769,0.7416,1007,808,4540,31000
Western Kentucky University,11250,16538,0.9232,1009,15780,6983,33800
Central Louisiana Technical Community College,PrivacySuppressed,12082,NULL,NULL,1439,3918,NULL
American School of Business,7373,NULL,NULL,NULL,85,NULL,19000
Ayers Career College,9500,NULL,NULL,NULL,267,NULL,26800
Baton Rouge General Medical Center-School of Nursing,18200,NULL,NULL,NULL,56,NULL,47200
Baton Rouge General Medical Center-School of Radiologic Technology,18200,NULL,NULL,NULL,22,NULL,47200
Baton Rouge School of Computers,20000,NULL,NULL,NULL,80,3528,30800
Capital Area Technical College,PrivacySuppressed,11931,NULL,NULL,1610,NULL,25900
Bossier Parish Community College,6000,12889,NULL,NULL,7322,4924,29600
Cameron College,3881,NULL,NULL,NULL,23,NULL,23400
Centenary College of Louisiana,14750,40578,0.6597,1131,579,7159,44700
Cloyd's Beauty School 1 Inc,PrivacySuppressed,NULL,NULL,NULL,51,NULL,PrivacySuppressed
Crescent City Bartending School,4555,NULL,NULL,NULL,469,NULL,23400
D'Jay's Institute of Cosmetology and Esthiology,6234,NULL,NULL,NULL,63,NULL,16300
Delgado Community College,5500,12335,NULL,NULL,17467,5252,28000
Delta School of Business and Technology,11269,23274,NULL,NULL,199,2872,19100
Avery James School of Cosmetology,PrivacySuppressed,NULL,NULL,NULL,58,NULL,PrivacySuppressed
Denham Springs Beauty School,4992.5,NULL,NULL,NULL,91,NULL,PrivacySuppressed
Dillard University,17500,25343,0.3544,884,1183,6288,32800
Nunez Community College,3250,12684,NULL,NULL,1675,5020,26200
Grambling State University,17203,20881,0.4363,863,4100,5794,28000
Guy's Shreveport Academy of Cosmetology Inc,9500,NULL,NULL,NULL,62,NULL,17100
ITI Technical College,10352,22045,NULL,NULL,569,3693,50800
John Jay Beauty College,PrivacySuppressed,NULL,NULL,NULL,36,NULL,17300
John Jay Beauty College,PrivacySuppressed,NULL,NULL,NULL,76,NULL,19200
Louisiana State University Health Sciences Center-New Orleans,14500,NULL,NULL,NULL,915,7750,66500
Louisiana State University-Alexandria,6569,14276,0.6074,950,1984,5298,33000
Louisiana State University and Agricultural & Mechanical College,11137.5,20422,0.7623,1162,23990,9190,47600
Louisiana State University-Eunice,5500,11914,NULL,NULL,2424,4734,30000
Louisiana State University-Shreveport,9464.5,15066,0.8349,1030,2796,6279,34600
Acadiana Technical College-Lafayette Campus,PrivacySuppressed,12832,NULL,NULL,1713,4186,PrivacySuppressed
Aveda Institute-Baton Rouge,9833,NULL,NULL,NULL,226,NULL,17800
Aveda Institute-Lafayette,8500,NULL,NULL,NULL,116,NULL,17000
Louisiana Academy of Beauty,3500,NULL,NULL,NULL,42,NULL,14600
Louisiana College,9500,22940,0.7423,968,1081,5513,40500
Opelousas School of Cosmetology,3500,NULL,NULL,NULL,14,NULL,PrivacySuppressed
Louisiana Tech University,10625,16983,0.6744,1089,7047,7055,41000
Loyola University New Orleans,15750,46676,0.8707,1143,2910,8612,46100
McNeese State University,8927.5,14823,0.6151,1030,6777,6410,37300
University of New Orleans,8500,16212,0.5036,1072,6854,7448,37800
New Orleans Baptist Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,1079,5456,NULL
Nicholls State University,8900,16071,0.8694,1030,5682,5785,36000
University of Louisiana at Monroe,8628,14925,0.7724,1050,5863,6958,36800
Northwest Louisiana Technical College,PrivacySuppressed,12524,NULL,NULL,1495,4114,NULL
Notre Dame Seminary Graduate School of Theology,PrivacySuppressed,NULL,NULL,NULL,NULL,5028,NULL
Northwestern State University of Louisiana,9753,16605,0.84,1007,7026,5898,33500
University of Holy Cross,13750,17887,0.4847,NULL,842,5485,39500
Franciscan Missionaries of Our Lady University,14000,21335,0.6615,1010,1483,6138,45100
Pat Goins Benton Road Beauty School,2880,NULL,NULL,NULL,25,NULL,PrivacySuppressed
Celebrity Stylist Beauty School,PrivacySuppressed,NULL,NULL,NULL,28,NULL,PrivacySuppressed
Pat Goins Ruston Beauty School,6450,NULL,NULL,NULL,28,NULL,PrivacySuppressed
Pineville Beauty School,PrivacySuppressed,NULL,NULL,NULL,75,NULL,PrivacySuppressed
Aveda Institute-Covington,9500,NULL,NULL,NULL,1707,NULL,20200
Saint Joseph Seminary College,PrivacySuppressed,30965,NULL,NULL,133,2996,PrivacySuppressed
Vanguard College of Cosmetology-Slidell,13707.5,NULL,NULL,NULL,107,NULL,PrivacySuppressed
South Louisiana Beauty College,5500,NULL,NULL,NULL,41,NULL,13300
Fletcher Technical Community College,PrivacySuppressed,13510,NULL,NULL,1776,4236,29200
Remington College-Lafayette Campus,9326,26145,0.9192,NULL,326,3299,26300
SOWELA Technical Community College,3500,12978,NULL,NULL,2645,4254,PrivacySuppressed
Stevensons Academy of Hair Design,PrivacySuppressed,NULL,NULL,NULL,116,NULL,14900
Southeastern Louisiana University,8000,15729,0.448,1030,11704,6335,36000
Southern University and A & M College,15657,17928,0.359,890,5666,6158,33800
Southern University at New Orleans,10500,10889,0.4888,808,1782,5830,28200
Southern University at Shreveport,5986.5,13623,NULL,NULL,2784,4684,23300
University of Louisiana at Lafayette,10250,15342,0.593,1070,14261,7568,38300
Northshore Technical Community College,PrivacySuppressed,12007,NULL,NULL,1705,3900,NULL
Tulane University of Louisiana,17282.5,58904,0.2643,1341,8290,10880,56200
Xavier University of Louisiana,14500,27550,0.5443,1048,2459,8252,47900
South Central Louisiana Technical College,PrivacySuppressed,12645,NULL,NULL,1460,4258,NULL
Purdue University Global-Lewiston,9500,21396,NULL,NULL,977,4449,33500
College of the Atlantic,13915,48639,0.7367,NULL,356,6679,24300
Bates College,16000,59285,0.2417,NULL,1791,10374,55700
Beal College,7055.5,NULL,NULL,NULL,461,2955,20100
Bowdoin College,17500,58200,0.1495,1423,1789,10803,58700
Maine College of Health Professions,10500,15526,0.4545,1010,178,5378,50700
Central Maine Community College,7000,12756,NULL,NULL,2531,5777,31200
Colby College,17250,57300,0.2604,1343,1820,11329,55000
Eastern Maine Community College,5500,13030,0.6639,NULL,2046,6188,30700
Husson University,16901,25019,0.7989,962,2290,6539,38500
Kennebec Valley Community College,6500,14210,NULL,NULL,1627,5562,29800
The Landing School,9500,36025,NULL,NULL,83,5827,PrivacySuppressed
University of Maine at Augusta,8215,13927,NULL,NULL,4306,6896,27500
University of Maine at Farmington,17996,20415,0.837,NULL,1858,6447,33800
University of Maine at Fort Kent,9968,17314,0.6293,908,913,6429,33200
University of Maine at Machias,9500,17380,0.854,937,596,5819,25900
University of Maine,15700,22461,0.8106,1085,8619,8755,40800
Maine Maritime Academy,26298,23673,0.6536,1026,994,3639,84000
University of Maine at Presque Isle,8966,16492,NULL,NULL,924,5948,29600
University of New England,19500,47931,0.8584,1057,2179,7900,45000
Northern Maine Community College,7000,15685,0.681,NULL,765,6210,28200
Empire Beauty School-Maine,5500,NULL,NULL,NULL,314,NULL,17000
Maine College of Art,18875,43313,0.9625,NULL,375,5237,24300
Saint Joseph's College of Maine,11567,43119,0.7778,960,1821,5824,40100
Spa Tech Institute-Westbrook,6333,NULL,NULL,NULL,245,NULL,23100
Southern Maine Community College,5500,15054,NULL,NULL,5958,6138,33400
University of Southern Maine,12961,22290,0.828,1003,6079,8522,37900
Thomas College,16500,33792,0.7244,895,846,6177,37100
Unity College,23750,34137,0.8882,NULL,553,5994,33000
Washington County Community College,3500,11173,NULL,NULL,330,5593,25900
Aaron's Academy of Beauty,5500,NULL,NULL,NULL,39,NULL,17000
Aesthetics Institute of Cosmetology,6333,NULL,NULL,NULL,40,NULL,PrivacySuppressed
Allegany College of Maryland,7488.5,13997,NULL,NULL,2677,5041,29700
Anne Arundel Community College,4750,16950,NULL,NULL,14125,6769,37000
Brightwood College-Towson,9200.5,NULL,NULL,NULL,360,4024,27600
Award Beauty School,7305,NULL,NULL,NULL,170,NULL,14400
Baltimore Studio of Hair Design,5500,NULL,NULL,NULL,72,NULL,16400
Baltimore City Community College,PrivacySuppressed,12348,NULL,NULL,4986,6078,28600
University of Baltimore,12111.5,24835,0.7295,940,3479,9786,55100
Bowie State University,12500,18581,0.5176,886,4313,7393,46400
Capitol Technology University,12241.5,30826,0.5903,1042,431,6362,70700
Cecil College,5000,9816,NULL,NULL,2426,6135,31000
College of Southern Maryland,4750,12644,NULL,NULL,8358,7967,37000
Chesapeake College,PrivacySuppressed,13112,NULL,NULL,2184,6292,27100
Washington Adventist University,19500,27990,0.3271,NULL,951,5041,43900
Coppin State University,9250,16147,0.355,880,2880,6952,35000
Delmarva Beauty Academy,12500,NULL,NULL,NULL,67,NULL,17400
North American Trade Schools,7484,NULL,NULL,NULL,545,NULL,36000
Frederick Community College,4700,9205,NULL,NULL,5375,6686,37500
Frostburg State University,15000,19454,0.5945,963,4575,6570,43900
Garrett College,5500,11372,NULL,NULL,586,6202,27000
Goucher College,18577,50840,0.7173,NULL,1444,7810,46700
Purdue University Global-Hagerstown,9500,26958,NULL,NULL,845,3301,33500
Hagerstown Community College,4842,9809,NULL,NULL,3997,5667,32800
Harford Community College,3700,7963,NULL,NULL,6016,6199,33200
Hood College,20656,45230,0.8102,1030,1347,7078,42800
Howard Community College,5000,12617,NULL,NULL,9287,6889,36900
Aveda Institute-Maryland,9500,NULL,NULL,NULL,55,NULL,18800
Johns Hopkins University,16045.5,58980,0.1813,1418,5932,10922,69800
L'Academie de Cuisine,20000,NULL,0.8421,NULL,46,NULL,38600
Lincoln College of Technology-Columbia,10900,NULL,NULL,NULL,693,4236,36000
Loyola University Maryland,25000,56736,0.58,1194,3972,8346,64800
Maryland Beauty Academy,4750,NULL,NULL,NULL,30,NULL,13800
University of Maryland-University College,6250,13222,NULL,NULL,26006,7153,49900
University of Maryland Baltimore,12500,NULL,NULL,NULL,738,10326,83000
University of Maryland-Baltimore County,14829,22024,0.6315,1209,11012,8985,54100
University of Maryland-College Park,15500,22933,0.4699,1310,26045,11628,61700
Maryland Institute College of Art,21500,52649,0.5803,1175,1892,8764,35700
University of Maryland Eastern Shore,14164,20587,0.5502,871,3421,7299,36200
Fortis Institute-Towson,9500,NULL,NULL,NULL,748,NULL,26600
Montgomery Beauty School,3750,NULL,NULL,NULL,134,NULL,16400
Montgomery College,4500,12291,NULL,NULL,19064,7929,40400
Morgan State University,16750,20108,0.5757,893,6197,7430,39200
Mount St. Mary's University,18721,45896,0.6741,1060,1729,7121,53600
Ner Israel Rabbinical College,PrivacySuppressed,20300,0.8154,NULL,340,5772,PrivacySuppressed
Hair Academy Inc-New Carrollton,4774.5,NULL,NULL,NULL,374,NULL,14100
